File Name,Molecule,Precursor Adduct,Precursor Mz,Total Area,Best Retention Time
Standard3_water_pos_15.wiff2,2-Deoxycytidine,[M+H],228.097882,16,3.34
Standard3_water_pos_14.wiff2,2-Deoxycytidine,[M+H],228.097882,35,3.27
Standard3_water_pos_13.wiff2,2-Deoxycytidine,[M+H],228.097882,57,3.29
Standard3_water_pos_12.wiff2,2-Deoxycytidine,[M+H],228.097882,20,3.31
Standard3_water_pos_11.wiff2,2-Deoxycytidine,[M+H],228.097882,72,3.32
Standard3_water_pos_10.wiff2,2-Deoxycytidine,[M+H],228.097882,40,3.33
Standard3_water_pos_1.wiff2,2-Deoxycytidine,[M+H],228.097882,249146,0.22
Standard3_matrix_pos_9.wiff2,2-Deoxycytidine,[M+H],228.097882,239,1.06
Standard3_matrix_pos_8.wiff2,2-Deoxycytidine,[M+H],228.097882,275,1.07
Standard3_matrix_pos_7.wiff2,2-Deoxycytidine,[M+H],228.097882,315,1.03
Standard3_matrix_pos_6.wiff2,2-Deoxycytidine,[M+H],228.097882,1514,0.21
Standard3_matrix_pos_5.wiff2,2-Deoxycytidine,[M+H],228.097882,3787,0.21
Standard3_matrix_pos_4.wiff2,2-Deoxycytidine,[M+H],228.097882,9846,0.21
Standard3_matrix_pos_3.wiff2,2-Deoxycytidine,[M+H],228.097882,27061,0.21
Standard3_matrix_pos_2.wiff2,2-Deoxycytidine,[M+H],228.097882,83256,0.21
Standard3_matrix_pos_16.wiff2,2-Deoxycytidine,[M+H],228.097882,213,1.07
Standard3_matrix_pos_15.wiff2,2-Deoxycytidine,[M+H],228.097882,237,0.09
Standard3_matrix_pos_14.wiff2,2-Deoxycytidine,[M+H],228.097882,223,1.07
Standard3_matrix_pos_13.wiff2,2-Deoxycytidine,[M+H],228.097882,271,1.03
Standard3_matrix_pos_12.wiff2,2-Deoxycytidine,[M+H],228.097882,263,1.01
Standard3_matrix_pos_11.wiff2,2-Deoxycytidine,[M+H],228.097882,203,1.07
Standard3_matrix_pos_10.wiff2,2-Deoxycytidine,[M+H],228.097882,175,1.07
Standard3_matrix_pos_1.wiff2,2-Deoxycytidine,[M+H],228.097882,223334,0.21
Standard2_water_pos_9.wiff2,2-Deoxycytidine,[M+H],228.097882,5499,0.21
Standard2_water_pos_8.wiff2,2-Deoxycytidine,[M+H],228.097882,7875,0.22
Standard2_water_pos_7.wiff2,2-Deoxycytidine,[M+H],228.097882,12017,0.21
Standard2_water_pos_6.wiff2,2-Deoxycytidine,[M+H],228.097882,16063,0.21
Standard2_water_pos_5.wiff2,2-Deoxycytidine,[M+H],228.097882,24400,0.21
Standard2_water_pos_4.wiff2,2-Deoxycytidine,[M+H],228.097882,42638,0.21
Standard2_water_pos_3.wiff2,2-Deoxycytidine,[M+H],228.097882,67296,0.21
Standard2_water_pos_24.wiff2,2-Deoxycytidine,[M+H],228.097882,13,2.99
Standard2_water_pos_23.wiff2,2-Deoxycytidine,[M+H],228.097882,16,3.3
Standard2_water_pos_22.wiff2,2-Deoxycytidine,[M+H],228.097882,20,3.36
Standard2_water_pos_21.wiff2,2-Deoxycytidine,[M+H],228.097882,51,3.32
Standard2_water_pos_20.wiff2,2-Deoxycytidine,[M+H],228.097882,33,3.36
Standard2_water_pos_2.wiff2,2-Deoxycytidine,[M+H],228.097882,129785,0.21
Standard2_water_pos_19.wiff2,2-Deoxycytidine,[M+H],228.097882,49,3.33
Standard2_water_pos_18.wiff2,2-Deoxycytidine,[M+H],228.097882,38,3.34
Standard2_water_pos_17.wiff2,2-Deoxycytidine,[M+H],228.097882,63,3.32
Standard2_water_pos_16.wiff2,2-Deoxycytidine,[M+H],228.097882,21,3.3
Standard2_water_pos_15.wiff2,2-Deoxycytidine,[M+H],228.097882,24,3.03
Standard2_water_pos_14.wiff2,2-Deoxycytidine,[M+H],228.097882,26,3.34
Standard2_water_pos_13.wiff2,2-Deoxycytidine,[M+H],228.097882,33,3.03
Standard2_water_pos_12.wiff2,2-Deoxycytidine,[M+H],228.097882,717,0.21
Standard2_water_pos_11.wiff2,2-Deoxycytidine,[M+H],228.097882,1360,0.21
Standard2_water_pos_10.wiff2,2-Deoxycytidine,[M+H],228.097882,2879,0.21
Standard2_water_pos_1.wiff2,2-Deoxycytidine,[M+H],228.097882,239314,0.22
Standard2_matrix_pos_9.wiff2,2-Deoxycytidine,[M+H],228.097882,2507,0.21
Standard2_matrix_pos_8.wiff2,2-Deoxycytidine,[M+H],228.097882,3826,0.21
Standard2_matrix_pos_7.wiff2,2-Deoxycytidine,[M+H],228.097882,7202,0.21
Standard2_matrix_pos_6.wiff2,2-Deoxycytidine,[M+H],228.097882,13119,0.21
Standard2_matrix_pos_5.wiff2,2-Deoxycytidine,[M+H],228.097882,21427,0.21
Standard2_matrix_pos_4.wiff2,2-Deoxycytidine,[M+H],228.097882,41084,0.21
